Ident (asp),Ident (voice),Ident (asp)/_V,Ident (voice)/_V,*[+v][-v][+v],*dh,*[-son/+voice],*aspiration
Id (asp),Id (voice),Id (asp)/_V,Id (voice)/_V,*[+v][-v][+v],*dh,*[-son/+voice],*asp

0,1,0,1,0,0,1,0
1,0,1,0,0,0,0,1
1,1,1,1,0,1,1,1

1,0,1,0,0,0,0,-1
1,1,1,1,0,0,1,-1
0,1,0,1,0,1,1,0

0,1,0,1,1,0,-1,0
1,1,1,1,1,0,-1,1
1,0,1,0,0,1,0,1

1,0,1,0,0,0,0,-1
1,1,1,1,-1,0,1,-1
0,1,0,1,-1,1,1,0

0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1
1,1,0,0,0,1,1,1

0,1,0,1,1,0,-1,0
1,1,1,1,1,0,-1,1
1,0,1,0,0,1,0,1
0,2,0,2,1,0,0,0
0,1,0,1,0,0,1,0
1,2,1,2,1,0,0,1
1,1,1,1,0,1,1,1
1,1,1,1,1,0,-1,1
1,0,1,0,0,0,0,1
2,1,2,1,1,0,-1,2
2,0,2,0,0,1,0,2
1,2,1,2,1,1,0,1
1,1,1,1,0,1,1,1
2,2,2,2,1,1,0,2
2,1,2,1,0,2,1,2

1,0,1,0,0,0,0,-1
1,1,1,1,-1,0,1,-1
0,1,0,1,-1,1,1,0
1,1,1,1,0,0,1,-1
1,2,1,2,-1,0,2,-1
0,1,0,1,0,0,1,0
0,2,0,2,-1,1,2,0
2,0,2,0,0,0,0,0
2,1,2,1,-1,0,1,0
1,0,1,0,0,0,0,1
1,1,1,1,-1,1,1,1
2,1,2,1,0,1,1,0
2,2,2,2,-1,1,2,0
1,1,1,1,0,1,1,1
1,2,1,2,-1,2,2,1

1,1,1,1,1,0,-1,-1
1,0,1,0,0,0,0,-1
2,1,2,1,1,0,-1,0
2,0,2,0,0,1,0,0
1,2,1,2,1,0,0,-1
1,1,1,1,0,0,1,-1
2,2,2,2,1,0,0,0
2,1,2,1,0,1,1,0
0,1,0,1,1,0,-1,0
1,1,1,1,1,0,-1,1
1,0,1,0,0,1,0,1
0,2,0,2,1,1,0,0
0,1,0,1,0,1,1,0
1,2,1,2,1,1,0,1
1,1,1,1,0,2,1,1

2,0,2,0,0,0,0,-2
2,1,2,1,-1,0,1,-2
1,0,1,0,0,0,0,-1
1,1,1,1,-1,1,1,-1
2,1,2,1,0,0,1,-2
2,2,2,2,-1,0,2,-2
1,1,1,1,0,0,1,-1
1,2,1,2,-1,1,2,-1
1,0,1,0,0,0,0,-1
1,1,1,1,-1,0,1,-1
0,1,0,1,-1,1,1,0
1,1,1,1,0,1,1,-1
1,2,1,2,-1,1,2,-1
0,1,0,1,0,1,1,0
0,2,0,2,-1,2,2,0

0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1
1,1,0,0,0,1,1,1
0,1,0,1,0,0,1,0
0,2,0,1,0,0,2,0
1,1,0,1,0,0,1,1
1,2,0,1,0,1,2,1
1,0,1,0,0,0,0,1
1,1,1,0,0,0,1,1
2,0,1,0,0,0,0,2
2,1,1,0,0,1,1,2
1,1,1,1,0,1,1,1
1,2,1,1,0,1,2,1
2,1,1,1,0,1,1,2
2,2,1,1,0,2,2,2

1,0,1,0,0,0,0,-1
1,1,1,0,0,0,1,-1
2,0,1,0,0,0,0,0
2,1,1,0,0,1,1,0
1,1,1,1,0,0,1,-1
1,2,1,1,0,0,2,-1
2,1,1,1,0,0,1,0
2,2,1,1,0,1,2,0
0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1
1,1,0,0,0,1,1,1
0,1,0,1,0,1,1,0
0,2,0,1,0,1,2,0
1,1,0,1,0,1,1,1
1,2,0,1,0,2,2,1
